Scaffold930	464
Scaffold933	1452
Scaffold935	1444
Scaffold155	1726
Scaffold937	808
Scaffold936	2303
Scaffold939	1457
Scaffold938	1666
JFJR01012822.1	149
Scaffold1278	939
Scaffold1272	934
Scaffold1273	1819
Scaffold1270	912
Scaffold1271	1795
Scaffold1276	1560
Scaffold1277	1799
Scaffold1274	971
Scaffold1275	37
JFJR01013530.1	897
JFJR01013193.1	158
Scaffold1100	1628
JFJR01013191.1	165
JFJR01012862.1	1617
JFJR01012856.1	131
Scaffold805	159
Scaffold804	1616
Scaffold807	2198
Scaffold806	1677
Scaffold801	1609
Scaffold800	479
Scaffold802	96
Scaffold809	756
Scaffold808	1214
JFJR01012858.1	176
JFJR01012869.1	178
JFJR01011826.1	179
JFJR01013494.1	180
JFJR01013544.1	1326
Scaffold243	2104
Scaffold242	579
Scaffold241	347
Scaffold240	1184
JFJR01013181.1	183
Scaffold246	1225
Scaffold245	2206
Scaffold244	1159
Scaffold249	328
JFJR01013177.1	185
JFJR01012019.1	186
JFJR01013183.1	188
JFJR01013179.1	190
JFJR01013098.1	191
Scaffold1089	388
Scaffold1088	1860
Scaffold1080	1359
Scaffold1083	1436
Scaffold1082	1889
Scaffold1085	1249
Scaffold1084	862
Scaffold1087	977
Scaffold1086	121
Scaffold1039	1852
JFJR01013119.1	194
Scaffold339	2222
Scaffold338	659
Scaffold337	2190
Scaffold336	766
Scaffold335	2114
Scaffold334	679
Scaffold333	1535
Scaffold332	1281
Scaffold331	2142
Scaffold330	668
Scaffold795	1663
Scaffold794	806
Scaffold797	1620
Scaffold796	105
Scaffold791	39
Scaffold790	749
JFJR01013288.1	200
JFJR01013115.1	201
JFJR01012930.1	1140
Scaffold799	2239
Scaffold798	718
JFJR01012666.1	1211
JFJR01013139.1	829
JFJR01013113.1	204
JFJR01013568.1	205
JFJR01012950.1	206
JFJR01013109.1	207
Scaffold481	171
Scaffold480	1173
JFJR01013187.1	208
JFJR01012952.1	1206
Scaffold485	244
Scaffold484	1698
Scaffold487	311
Scaffold486	1761
Scaffold489	34
Scaffold488	1155
JFJR01013094.1	211
Scaffold669	1591
Scaffold668	675
Scaffold661	2007
Scaffold660	639
Scaffold663	907
Scaffold662	1626
Scaffold665	1932
Scaffold664	522
JFJR01012904.1	218
JFJR01013465.1	219
JFJR01012922.1	220
Scaffold468	2384
